ID,Character,Image,Description
250,合,3942596.jpg,"(pot 口 and lid 亼 = join) (mouth 1 亼, and mouth 2 口 = to agree)"
251,合,3942111.jpg,"(pot 口 and lid 亼 = join) (mouth 1 亼, and mouth 2 口 = to agree)"
252,合,3943844.jpg,"(pot 口 and lid 亼 = join) (mouth 1 亼, and mouth 2 口 = to agree)"
253,合,3944478.jpg,"(pot 口 and lid 亼 = join) (mouth 1 亼, and mouth 2 口 = to agree)"
254,合,3945750.jpg,"(pot 口 and lid 亼 = join) (mouth 1 亼, and mouth 2 口 = to agree)"
255,合,3946904.jpg,"(pot 口 and lid 亼 = join) (mouth 1 亼, and mouth 2 口 = to agree)"
256,合,3946914.jpg,"(pot 口 and lid 亼 = join) (mouth 1 亼, and mouth 2 口 = to agree)"
257,合,3946627.jpg,"(pot 口 and lid 亼 = join) (mouth 1 亼, and mouth 2 口 = to agree)"
258,合,3947177.jpg,"(pot 口 and lid 亼 = join) (mouth 1 亼, and mouth 2 口 = to agree)"
259,合,3947915.jpg,"(pot 口 and lid 亼 = join) (mouth 1 亼, and mouth 2 口 = to agree)"
260,何,3947281.jpg,Man carrying a hoe or scythe. Man who caries a tool and sings while he works. see 何可哥歌
261,何,3948358.jpg,Man carrying a hoe or scythe. Man who caries a tool and sings while he works. see 何可哥歌
262,龢,3949958.jpg,(- now 和)
263,龢,3950441.jpg,(- now 和)
264,虹,3951504.jpg,(- original oracle was a two headed snake indicating the rainbow) .
265,后,3952380.jpg,(- right facing person who gives orders) (mirror- 后司) (mirror- 𠂋匕-人)
266,厚,3953899.jpg,(- inverted grain-silo-xiang 亯 xiǎng)
267,乎,3953989.jpg,"(- probably from a sundial indicating 气彡 air on top and remnant 丅 the sundial below. The references to ""breath"" come from the three strokes 彡)"
268,虍,3954546.jpg,(- a tiger head and teeth) 虎hǔ 虐nüè
269,壶,3954201.jpg,(- a vase-hu)
270,壶,3954441.jpg,(- a vase-hu)
271,壶,3955393.jpg,(- a vase-hu)
272,壶,3955828.jpg,(- a vase-hu)
273,壶,3955859.jpg,(- a vase-hu)
274,壶,3956945.jpg,(- a vase-hu)
275,虎,3956974.jpg,(- tigers head and body 虎)
276,虎,3956877.jpg,(- tigers head and body 虎)
277,虎,3957469.jpg,(- tigers head and body 虎)
278,户,3957686.jpg,(- a one leafed door-hu 户戶戸 hù)
279,化,3957756.jpg,(- two people one upside down)
280,雈,4013491.jpg,(- egret with a feather tuft)
281,雈,4013570.jpg,(- egret with a feather tuft)
282,雈,4020856.jpg,(- egret with a feather tuft)
283,黄,4020218.jpg,"(- modern versions have a huang 廿璜 huáng around the neck) (- 黃道 - the path of the sun, ecliptic) (- oracle is combination of 大 and 日 or 大 and 口 or Big Sun) (- 太陽道 also means the path of the big light)"
284,黄,4021885.jpg,"(- modern versions have a huang 廿璜 huáng around the neck) (- 黃道 - the path of the sun, ecliptic) (- oracle is combination of 大 and 日 or 大 and 口 or Big Sun) (- 太陽道 also means the path of the big light)"
285,会,4021410.jpg,(- mouths talking 合 about the fields 田 or about rice 米)
286,火,4022928.jpg,(- a fire) (- context 灬)
287,火,4022655.jpg,(- a fire) (- context 灬)
288,及,4026351.jpg,(- right hand grabbing a person)
289,吉,4026764.jpg,(- possibly a storehouse of grain)(- see 享亯)
290,即,4027761.jpg,(- person 卩 eating 皀 - at the moment)
291,即,4027703.jpg,(- person 卩 eating 皀 - at the moment)
292,亟,4028225.jpg,(yelling 口 and hand waving 又 between two 二 people 勹 ) see 仁 荏
293,疾,4028236.jpg,(- disease like being shot with an arrow probably the same origin as 医)
294,疾,4028300.jpg,(- disease like being shot with an arrow probably the same origin as 医)
295,疾,4030536.jpg,(- disease like being shot with an arrow probably the same origin as 医)
296,疾,4030132.jpg,(- disease like being shot with an arrow probably the same origin as 医)
297,疾,4030696.jpg,(- disease like being shot with an arrow probably the same origin as 医)
298,己,4033822.jpg,(- the waft of a loom 𤕦妃改配圮) (- phonetic-signific 忌紀纪記记) (- see 巳 sì 己 jǐ 已 yǐ) (- phonetic in 鱾魢屺芑杞玘) (- remnant in 岂豈)
299,己,4034979.jpg,(- the waft of a loom 𤕦妃改配圮) (- phonetic-signific 忌紀纪記记) (- see 巳 sì 己 jǐ 已 yǐ) (- phonetic in 鱾魢屺芑杞玘) (- remnant in 岂豈)
300,己,4034785.jpg,(- the waft of a loom 𤕦妃改配圮) (- phonetic-signific 忌紀纪記记) (- see 巳 sì 己 jǐ 已 yǐ) (- phonetic in 鱾魢屺芑杞玘) (- remnant in 岂豈)
301,己,4035147.jpg,(- the waft of a loom 𤕦妃改配圮) (- phonetic-signific 忌紀纪記记) (- see 巳 sì 己 jǐ 已 yǐ) (- phonetic in 鱾魢屺芑杞玘) (- remnant in 岂豈)
302,丮,4035212.jpg,(- 丮𠃨 man kneeling - two hands working) (- monstrosity 𦝠𦟀𣎆)  (- 丸 in 埶 亵褻 势勢 热熱 [执]埶 执執 𦏧孰熟 執𡘺𡙕) (- distorted in 夙𡖊
303,旡,4036573.jpg,(- See 既旣既) (- a kneeling man with his head turned away)  (- Opposite of person-qian 欠 qiàn)
304,旡,4036717.jpg,(- See 既旣既) (- a kneeling man with his head turned away)  (- Opposite of person-qian 欠 qiàn)
305,季,4036494.jpg,(- a young 子 sprout 禾 time of year)
306,季,4037565.jpg,(- a young 子 sprout 禾 time of year)
307,既,4037112.jpg,"(- man leaves after eating, indicating since)."
308,既,4039154.jpg,"(- man leaves after eating, indicating since)."
309,夹,4040456.jpg,(- person holding two other persons in each hand)
310,夹,4040409.jpg,(- person holding two other persons in each hand)
311,家,4041949.jpg,(- pigs used to live under the house which were on stilts)
312,家,4041474.jpg,(- pigs used to live under the house which were on stilts)
313,甲,4042914.jpg,(- natural crack joints in the underside of a turtle-shell-jia) (- originally looked like 十) (- 天干 - 甲乙丙丁戊己庚辛壬癸)
314,戋,4042131.jpg,(- the sound they make).
315,姜,4044986.jpg,(- probably from a sheep skin hat)
316,交,4045263.jpg,"(Shuowen: a man with crossed legs) (a fire drill, originally a fire drill and bow for making fire and drilling holes)"
317,角,4045290.jpg,(- a cow horn)
318,解,4046791.jpg,(- cut horn of cow to analyze)
319,介,4046482.jpg,(thought to be a man with armor protecting the border) (probably a man )
320,介,4047682.jpg,(thought to be a man with armor protecting the border) (probably a man )
321,今,4049520.jpg,(inversion- of 曰-今)
322,尽,4049658.jpg,"(- hand with a cleaning brush cleaning a pot - empty, finished)"
323,尽,4049709.jpg,"(- hand with a cleaning brush cleaning a pot - empty, finished)"
324,尽,4050564.jpg,"(- hand with a cleaning brush cleaning a pot - empty, finished)"
325,晋,4050666.jpg,(- probably indicating a command)
326,京,4050351.jpg,(- a high building)  (- See high-building-gao 高 gāo)
327,京,4051511.jpg,(- a high building)  (- See high-building-gao 高 gāo)
328,京,4052468.jpg,(- a high building)  (- See high-building-gao 高 gāo)
329,京,4052830.jpg,(- a high building)  (- See high-building-gao 高 gāo)
330,井,4054494.jpg,(- a square well)
331,竟,4056249.jpg,(- person has spoken - finally
332,九,4056742.jpg,(- believed to be a hand with a hook)
333,九,4056983.jpg,(- believed to be a hand with a hook)
334,九,4057264.jpg,(- believed to be a hand with a hook)
335,九,4058377.jpg,(- believed to be a hand with a hook)
336,旧,4058355.jpg,(- possibly an Osprey who comes back to its old nest 臼)
337,旧,4059840.jpg,(- possibly an Osprey who comes back to its old nest 臼)
338,咎,4100717.jpg,Perhaps from a person 人 who goes his own way 各.
339,亢,4105634.jpg,(- a man girding his loins - to resist)
340,可,4111439.jpg,(- modified 何 original of song 歌 maybe singing as you work - a scythe or hoe from 何) (- see 柯)
341,克,4111370.jpg,(- unclear see 兢 𠓆)
342,克,4111356.jpg,(- unclear see 兢 𠓆)
343,克,4112237.jpg,(- unclear see 兢 𠓆)
344,口,4112965.jpg,(- a mouth 90%) (- other origins in 冏啚回杏...) (inversion- 亼 jí 口)
345,叩,4112823.jpg,(- 口 pronounced like卩)
346,叩,4112967.jpg,(- 口 pronounced like卩)
347,困,4116250.jpg,(- original 困捆綑) (- a tie 囗 around a plant 木 to make it grow in a certain way)
348,来,4116269.jpg,(- fruit hanging on a tree or grain)
349,来,4116608.jpg,(- fruit hanging on a tree or grain)
350,牢,4117600.jpg,(- 宀 a pen)
351,老,4117775.jpg,(- an old man with long hair-lao 耂 leaning on a cane 匕)
352,老,4118846.jpg,(- an old man with long hair-lao 耂 leaning on a cane 匕)
353,老,4118574.jpg,(- an old man with long hair-lao 耂 leaning on a cane 匕)
354,老,4118445.jpg,(- an old man with long hair-lao 耂 leaning on a cane 匕)
355,老,4118822.jpg,(- an old man with long hair-lao 耂 leaning on a cane 匕)
356,老,4119769.jpg,(- an old man with long hair-lao 耂 leaning on a cane 匕)
357,老,4120736.jpg,(- an old man with long hair-lao 耂 leaning on a cane 匕)
358,乐,4120421.jpg,"(- believed to be some drums on a wooden rack, Chinese zither)"
359,李,4122520.jpg,(- The child apparently playing beneath the tree)
360,豊,4122518.jpg,(- Alternate of 禮 lǐ)  (- in context alternate of drum-feng 豐 fēng) (- drum 豆 with flower and two men hitting on both sides)
361,力,4122107.jpg,(- 力 a plow without hand)  (- 耒 a plow with hand) B007 边[邊] B059 历[歷曆] B091 穷[窮] A220 伤[傷]
362,立,4123180.jpg,(- a man standing up on the ground) (- person standing)
363,联,4126944.jpg,(- maybe to tie 絲 the ear 耳 of a cow or connect braids of hair around the ear)
364,联,4126142.jpg,(- maybe to tie 絲 the ear 耳 of a cow or connect braids of hair around the ear)
365,良,4126104.jpg,(- originally a pavilion) (- 廊郎) (not 皀 jí) (not 饣飠食)  (not 𢓴退𨓤) 㫰 俍 埌 娘 崀 悢 朗 浪 烺 桹 狼 琅 稂 筤 粮 莨 踉 螂蜋 郎郞𨝥郒 酿 锒鋃 阆閬
366,良,4127755.jpg,(- originally a pavilion) (- 廊郎) (not 皀 jí) (not 饣飠食)  (not 𢓴退𨓤) 㫰 俍 埌 娘 崀 悢 朗 浪 烺 桹 狼 琅 稂 筤 粮 莨 踉 螂蜋 郎郞𨝥郒 酿 锒鋃 阆閬
367,良,4127707.jpg,(- originally a pavilion) (- 廊郎) (not 皀 jí) (not 饣飠食)  (not 𢓴退𨓤) 㫰 俍 埌 娘 崀 悢 朗 浪 烺 桹 狼 琅 稂 筤 粮 莨 踉 螂蜋 郎郞𨝥郒 酿 锒鋃 阆閬
368,良,4128629.jpg,(- originally a pavilion) (- 廊郎) (not 皀 jí) (not 饣飠食)  (not 𢓴退𨓤) 㫰 俍 埌 娘 崀 悢 朗 浪 烺 桹 狼 琅 稂 筤 粮 莨 踉 螂蜋 郎郞𨝥郒 酿 锒鋃 阆閬
369,吝,4129996.jpg,The cultured man's 文 mouth 口
370,夌,4130114.jpg,(- unclear remnant from mushroom-lu 圥 lù)
371,霝,4131391.jpg,𠱠 are rain drops
372,六,4132340.jpg,(6 sided pagoda 廬) (see 圥坴陸夌踛)
373,六,4132569.jpg,(6 sided pagoda 廬) (see 圥坴陸夌踛)
374,六,4133611.jpg,(6 sided pagoda 廬) (see 圥坴陸夌踛)
375,六,4133278.jpg,(6 sided pagoda 廬) (see 圥坴陸夌踛)
376,龙,4133198.jpg,(- animal snake with inverted 王 on its head) (- cursive left side 丿 remnant 匕 )
377,龙,4134781.jpg,(- animal snake with inverted 王 on its head) (- cursive left side 丿 remnant 匕 )
378,龙,4134721.jpg,(- animal snake with inverted 王 on its head) (- cursive left side 丿 remnant 匕 )
379,卢,4138630.jpg,F033 (户)戶  A168 庐[廬](户)盧 A169 芦[蘆](户)盧 A170 炉[爐](户)盧 A172 驴[驢](户)盧 B066 卢[盧](卢)盧 (垆)壚 (泸)瀘 (栌)櫨 (胪)臚 (舻)艫 (轳)轤 (𬬻)鑪 (颅)顱 (鲈)鱸 (鸬鸕 (not- 戸)
380,卢,4138975.jpg,F033 (户)戶  A168 庐[廬](户)盧 A169 芦[蘆](户)盧 A170 炉[爐](户)盧 A172 驴[驢](户)盧 B066 卢[盧](卢)盧 (垆)壚 (泸)瀘 (栌)櫨 (胪)臚 (舻)艫 (轳)轤 (𬬻)鑪 (颅)顱 (鲈)鱸 (鸬鸕 (not- 戸)
381,卢,4139649.jpg,F033 (户)戶  A168 庐[廬](户)盧 A169 芦[蘆](户)盧 A170 炉[爐](户)盧 A172 驴[驢](户)盧 B066 卢[盧](卢)盧 (垆)壚 (泸)瀘 (栌)櫨 (胪)臚 (舻)艫 (轳)轤 (𬬻)鑪 (颅)顱 (鲈)鱸 (鸬鸕 (not- 戸)
382,卢,4139266.jpg,F033 (户)戶  A168 庐[廬](户)盧 A169 芦[蘆](户)盧 A170 炉[爐](户)盧 A172 驴[驢](户)盧 B066 卢[盧](卢)盧 (垆)壚 (泸)瀘 (栌)櫨 (胪)臚 (舻)艫 (轳)轤 (𬬻)鑪 (颅)顱 (鲈)鱸 (鸬鸕 (not- 戸)
383,卢,4140474.jpg,F033 (户)戶  A168 庐[廬](户)盧 A169 芦[蘆](户)盧 A170 炉[爐](户)盧 A172 驴[驢](户)盧 B066 卢[盧](卢)盧 (垆)壚 (泸)瀘 (栌)櫨 (胪)臚 (舻)艫 (轳)轤 (𬬻)鑪 (颅)顱 (鲈)鱸 (鸬鸕 (not- 戸)
384,卢,4140698.jpg,F033 (户)戶  A168 庐[廬](户)盧 A169 芦[蘆](户)盧 A170 炉[爐](户)盧 A172 驴[驢](户)盧 B066 卢[盧](卢)盧 (垆)壚 (泸)瀘 (栌)櫨 (胪)臚 (舻)艫 (轳)轤 (𬬻)鑪 (颅)顱 (鲈)鱸 (鸬鸕 (not- 戸)
385,鲁,4140952.jpg,(- to have a nose like a fish - foolish).、
386,鹿,4142413.jpg,(- animal deer)
387,鹿,4143496.jpg,(- animal deer)
388,鹿,4143417.jpg,(- animal deer)
389,旅,4148376.jpg,(- who camp under the flag of the army).
390,率,4148792.jpg,(- probably the ratio of warp to woof threads)
391,马,4149166.jpg,(- a horse)
392,买,4151528.jpg,(give cowries 貝 and take your stuff home in a net I net 网) (- see 賣)
393,买,4151375.jpg,(give cowries 貝 and take your stuff home in a net I net 网) (- see 賣)
394,麦,4152842.jpg,(- to go and reap)
395,麦,4152375.jpg,(- to go and reap)
396,麦,4152929.jpg,(- to go and reap)
397,尨,4154175.jpg,(- shaggy dog)
398,卯,4155322.jpg,"Shuowen 冒也 indicates pronunciation. 故二月爲天門 (new month - 5 to 7 AM.) (heliacal setting moon left = old crescent evening moon bent west to heliacal rising moon right = new crescent morning moon bent east) (4th terrestrial branch, 5 to 7 AM.) see 夗昴"
399,卯,4156476.jpg,"Shuowen 冒也 indicates pronunciation. 故二月爲天門 (new month - 5 to 7 AM.) (heliacal setting moon left = old crescent evening moon bent west to heliacal rising moon right = new crescent morning moon bent east) (4th terrestrial branch, 5 to 7 AM.) see 夗昴"
400,每,4201474.jpg,"(- original meaning beautiful, woman with beautiful hair)"
401,每,4202513.jpg,"(- original meaning beautiful, woman with beautiful hair)"
402,每,4202206.jpg,"(- original meaning beautiful, woman with beautiful hair)"
403,美,4202870.jpg,"Sheep is from feather head dress, or possible hair."
404,美,4205659.jpg,"Sheep is from feather head dress, or possible hair."
405,美,4206339.jpg,"Sheep is from feather head dress, or possible hair."
406,美,4206202.jpg,"Sheep is from feather head dress, or possible hair."
407,门,4208503.jpg,(- a gate) (- from 門) (- from 鬥 in 鬧)
408,门,4208244.jpg,(- a gate) (- from 門) (- from 鬥 in 鬧)
409,梦,4209154.jpg,(- eyelids 艹 and eyes 罒 and body 冖勹 of a person sleeping and moon 夕 (- see 㝱)
410,梦,4209917.jpg,(- eyelids 艹 and eyes 罒 and body 冖勹 of a person sleeping and moon 夕 (- see 㝱)
411,梦,4210137.jpg,(- eyelids 艹 and eyes 罒 and body 冖勹 of a person sleeping and moon 夕 (- see 㝱)
412,梦,4210414.jpg,(- eyelids 艹 and eyes 罒 and body 冖勹 of a person sleeping and moon 夕 (- see 㝱)
413,梦,4211147.jpg,(- eyelids 艹 and eyes 罒 and body 冖勹 of a person sleeping and moon 夕 (- see 㝱)
414,米,4212438.jpg,"(- a spike of rice, the dots being the kernels) (- plant)"
415,米,4213555.jpg,"(- a spike of rice, the dots being the kernels) (- plant)"
416,免,4214359.jpg,(- from person-ren 人 below and ceremonial cap above)
417,黾,4215959.jpg,(- a toad)
418,黾,4215303.jpg,(- a toad)
419,黾,4216877.jpg,(- a toad)
420,面,4216662.jpg,(- a face 自 on a head 囗)
421,面,4218934.jpg,(- a face 自 on a head 囗)
422,民,4219924.jpg,(- a needle stuck in the eye)  (original- meaning a blind person 民盲 máng)  (- borrowed for sound)
423,皿,4219464.jpg,(- a large bronze bowl)
424,名,4220331.jpg,"(- The name 口 kǒu given you by the moon 夕 xī , birth name)"
425,名,4222172.jpg,"(- The name 口 kǒu given you by the moon 夕 xī , birth name)"
426,明,4223568.jpg,(- lets in moon light)
427,冥,4223203.jpg,many variants  (冖 covering bright moon 㚖)
428,冥,4224866.jpg,many variants  (冖 covering bright moon 㚖)
429,冥,4225453.jpg,many variants  (冖 covering bright moon 㚖)
430,莫,4226997.jpg,(- sun goes down lost in the grass 茻) (- sun goes down stars 𦬠 come out)
431,莫,4226107.jpg,(- sun goes down lost in the grass 茻) (- sun goes down stars 𦬠 come out)
432,莫,4227353.jpg,(- sun goes down lost in the grass 茻) (- sun goes down stars 𦬠 come out)
433,莫,4227924.jpg,(- sun goes down lost in the grass 茻) (- sun goes down stars 𦬠 come out)
434,莫,4228138.jpg,(- sun goes down lost in the grass 茻) (- sun goes down stars 𦬠 come out)
435,莫,4228356.jpg,(- sun goes down lost in the grass 茻) (- sun goes down stars 𦬠 come out)
436,莫,4229423.jpg,(- sun goes down lost in the grass 茻) (- sun goes down stars 𦬠 come out)
437,莫,4229690.jpg,(- sun goes down lost in the grass 茻) (- sun goes down stars 𦬠 come out)
438,莫,4233478.jpg,(- sun goes down lost in the grass 茻) (- sun goes down stars 𦬠 come out)
439,母,4246148.jpg,(- a woman's breasts with nipples)
440,牡,4246731.jpg,(- the animal on top)
441,木,4247708.jpg,"(- a tree, with branches at top and roots at bottom - wood)"
442,目,4248466.jpg,(- an eye)
443,穆,4250805.jpg,(- a plant and flower with dropping seeds)
444,穆,4251482.jpg,(- a plant and flower with dropping seeds)
445,内,4251488.jpg,(- an open tent flap door)
446,乃,4252237.jpg,(- breasts in 孕奶 meaning beget) (- bow in 隽雋)  (- throwing path in 扔)  (- flowers in 朵朶秀) (- simplification in 乃<迺廼>)  (- smoke and phonetic in 鼐) (- phonetic nai in 氖艿) (- reduced phonetic réng from 扔 in 仍礽辸) (- unclear in 夃𡕔)
447,乃,4252189.jpg,(- breasts in 孕奶 meaning beget) (- bow in 隽雋)  (- throwing path in 扔)  (- flowers in 朵朶秀) (- simplification in 乃<迺廼>)  (- smoke and phonetic in 鼐) (- phonetic nai in 氖艿) (- reduced phonetic réng from 扔 in 仍礽辸) (- unclear in 夃𡕔)
448,乃,4253695.jpg,(- breasts in 孕奶 meaning beget) (- bow in 隽雋)  (- throwing path in 扔)  (- flowers in 朵朶秀) (- simplification in 乃<迺廼>)  (- smoke and phonetic in 鼐) (- phonetic nai in 氖艿) (- reduced phonetic réng from 扔 in 仍礽辸) (- unclear in 夃𡕔)
449,乃,4254187.jpg,(- breasts in 孕奶 meaning beget) (- bow in 隽雋)  (- throwing path in 扔)  (- flowers in 朵朶秀) (- simplification in 乃<迺廼>)  (- smoke and phonetic in 鼐) (- phonetic nai in 氖艿) (- reduced phonetic réng from 扔 in 仍礽辸) (- unclear in 夃𡕔)
450,南,4259622.jpg,"Align an iron bar North and South. Hit it with a hammer. It is magnetized from the earths magnetic field. It is a south pointing needle, or compass."
451,南,4259253.jpg,"Align an iron bar North and South. Hit it with a hammer. It is magnetized from the earths magnetic field. It is a south pointing needle, or compass."
452,年,4303990.jpg,(- a man 千 bringing in a harvest 禾 once a year)  (- see 千)
453,辇,4304432.jpg,(- used to carry or pull a cart)
454,鸟,4305491.jpg,(- a bird)
455,鸟,4306597.jpg,(- a bird)
456,鸟,4306278.jpg,(- a bird)
457,鸟,4307236.jpg,(- a bird)
458,鸟,4307248.jpg,(- a bird)
459,宁,4309493.jpg,(- 寧 níng content traditional  became 宁 níng content simplified) and (- 宁 zhù cowry vice traditional  became 㝉 zhù cowry vice simplified)
460,宁,4310615.jpg,(- 寧 níng content traditional  became 宁 níng content simplified) and (- 宁 zhù cowry vice traditional  became 㝉 zhù cowry vice simplified)
461,宁,4310470.jpg,(- 寧 níng content traditional  became 宁 níng content simplified) and (- 宁 zhù cowry vice traditional  became 㝉 zhù cowry vice simplified)
462,牛,4312104.jpg,"(- a cows' head, horns and ears)"
463,牛,4312386.jpg,"(- a cows' head, horns and ears)"
464,女,4314868.jpg,(- a woman's breasts)  (- some think it is a woman's hands)
465,虐,4314603.jpg,(- to claw)
466,旁,4317830.jpg,(- the side of the sail)
467,朋,4318266.jpg,"(- seal character previously believed to be wings of a large ""peng"" bird) (- oracle character two strings of 5 cowries) (- note 詩經 text 既见君子,锡我百朋)"
468,彭,4319382.jpg,(- striking).
469,品,4319515.jpg,(- houses in 区區) (- products in 闆临臨) (- rocks in 嵒)
470,品,4320119.jpg,(- houses in 区區) (- products in 闆临臨) (- rocks in 嵒)
471,叵,4323681.jpg,"(mirror- 叵-可) (mirror- 𠀀-丂) (- mirror image of ""can"" is ""can't"""
472,七,4323905.jpg,"(- number 7 originally looked like number-ten-shi 十 shí)  (- Some say a modification of scissors-yi 乂 yì which meant to-cut-che 切 qiē, which was pronounced like seven)"
473,七,4324566.jpg,"(- number 7 originally looked like number-ten-shi 十 shí)  (- Some say a modification of scissors-yi 乂 yì which meant to-cut-che 切 qiē, which was pronounced like seven)"
474,齐,4331243.jpg,(- 𠫸 indicating a field of wheat all stocks the same height - even)
475,齐,4332487.jpg,(- 𠫸 indicating a field of wheat all stocks the same height - even)
476,其,4333597.jpg,(original- 其箕) ( basket 𠀠 table 丌)
477,祈,4333275.jpg,(- pray 示 before going to war 斤 or going hunting)
478,启,4339942.jpg,(- start by opening the window or door to start work)
479,弃,4342445.jpg,(- blanket toss two hands and blanket throwing a child up in the air)
480,千,4343798.jpg,(- one unit of one thousand) (- 亻 and 一) A197 千[韆] A025 忏[懺] A111 歼[殲] B087 迁[遷] A199 纤[縴纖]
481,欠,4344963.jpg,(- 欠 a man with mouth facing left)
482,欠,4344906.jpg,(- 欠 a man with mouth facing left)
483,羌,4345169.jpg,(- possibly a sheep skin hat)
484,羌,4346838.jpg,(- possibly a sheep skin hat)
485,羌,4346259.jpg,(- possibly a sheep skin hat)
486,羌,4347939.jpg,(- possibly a sheep skin hat)
487,羌,4347460.jpg,(- possibly a sheep skin hat)
488,妾,4348333.jpg,(- possibly indicating a woman who lays down).
489,秦,4348587.jpg,(- from reduced food-chong 舂𦥽)
490,秦,4349235.jpg,(- from reduced food-chong 舂𦥽)
491,庆,4354134.jpg,(- the heart and walk of a deer)
492,庆,4355827.jpg,(- the heart and walk of a deer)
493,丘,4356821.jpg,(- a small mountain)
494,丘,4357382.jpg,(- a small mountain)
495,丘,4357505.jpg,(- a small mountain)
496,丘,4359851.jpg,(- a small mountain)
497,丘,4400514.jpg,(- a small mountain)
498,秋,4401905.jpg,"(- autumn when people burn 火 the fields 禾 to kill the locust 龜eggs not turtle) (some modern forms have a turtle龜, ancient forms have an insect)"
499,裘,4401626.jpg,求 is the shape of the cloths inside the 衣
500,区,4402832.jpg,(- objects are houses surrounded by a wall).
501,曲,4406173.jpg,(- a feeding tray - warped board)
502,曲,4407269.jpg,(- a feeding tray - warped board)
503,取,4407366.jpg,(- to call forward to hear) (- like pulling a cow by the ear)
504,泉,4418576.jpg,(- a spring with water flowing out)
505,泉,4418623.jpg,(- a spring with water flowing out)
506,泉,4420203.jpg,(- a spring with water flowing out)
507,泉,4421718.jpg,(- a spring with water flowing out)
508,犬,4421625.jpg,(- from a pictograph of a dog 獒獘獃) (- in context written as 犭)
509,冉,4422882.jpg,"not 冓稱爯 rain coat made of grass 衰𧜸縗蓑簑 mustache 髯髥 phonetic 䎃蚺苒 ran,  phonetic 聃 dan, 枏柟 nan,  phonetic 那𨚗𨚉 nà"
510,冉,4422639.jpg,"not 冓稱爯 rain coat made of grass 衰𧜸縗蓑簑 mustache 髯髥 phonetic 䎃蚺苒 ran,  phonetic 聃 dan, 枏柟 nan,  phonetic 那𨚗𨚉 nà"
511,壬,4426138.jpg,(- probably a load 工 on a carrying pole 扁擔 man in middle)
512,壬,4427629.jpg,(- probably a load 工 on a carrying pole 扁擔 man in middle)
513,壬,4428370.jpg,(- probably a load 工 on a carrying pole 扁擔 man in middle)
514,刃,4432475.jpg,(- knife with blood)
515,扔,4434994.jpg,(- 乃 action of throwing something away) (- 乃 becomes phonetic in other characters)
516,日,4435835.jpg,(- the sun)
517,戎,4435416.jpg,(- armor).
518,肉,4435505.jpg,(- ⺼ is a modern font component indicating the difference between 月 and 肉 were 肉 appears as 月 in a character)
519,肉,4436651.jpg,(- ⺼ is a modern font component indicating the difference between 月 and 肉 were 肉 appears as 月 in a character)
520,肉,4437229.jpg,(- ⺼ is a modern font component indicating the difference between 月 and 肉 were 肉 appears as 月 in a character)
521,如,4437319.jpg,"(- 年年如意 May all your years ""like"" you want them. Now it means ""if"" 如果)"
522,如,4438801.jpg,"(- 年年如意 May all your years ""like"" you want them. Now it means ""if"" 如果)"
523,乳,4439593.jpg,(- woman holding child against her breast).
524,入,4439503.jpg,(an open tent door 入)
525,若,4440445.jpg,"(- a woman with her two hands, playing with her hair)"
